data;Renda fixa TPF;Renda fixa ref ind;Renda fixa e índice;Ações;Multimercado
01/01/08;0.0091;0.0091;0.0085;-0.0893;0.0051
01/02/08;0.0078;0.0079;0.0079;0.0941;0.0095
01/03/08;0.0082;0.0082;0.0083;-0.06;0.0004
01/04/08;0.0087;0.0099;0.0089;0.0632;0.0086
01/05/08;0.0085;0.0085;0.0086;0.0937;0.0072
01/06/08;0.0092;0.0096;0.0094;-0.0953;0.007
01/07/08;0.0104;0.0107;0.0105;-0.0411;0.0078
01/08/08;0.0099;0.0102;0.0098;-0.0593;0.0064
01/09/08;0.0103;0.0107;0.0105;-0.193;0.0049
01/10/08;0.0112;0.0113;0.0111;-0.2358;0.0058
01/11/08;0.0097;0.01;0.01;0.0178;0.0077
01/12/08;0.011;0.0108;0.0112;0.0717;0.011
01/01/09;0.0103;0.0103;0.0106;0.0671;0.008
01/02/09;0.0083;0.0085;0.0084;-0.0568;0.0061
01/03/09;0.0095;0.0098;0.0097;0.0731;0.0075
01/04/09;0.0081;0.0084;0.0085;0.2554;0.0053
01/05/09;0.0074;0.0077;0.0078;0.1914;0.0073
01/06/09;0.0074;0.0078;0.0076;-0.0056;0.0059
01/07/09;0.0076;0.0081;0.0079;0.1046;0.0067
01/08/09;0.0067;0.0068;0.0074;0.0479;0.0041
01/09/09;0.0066;0.0069;0.007;0.1013;0.0049
01/10/09;0.0067;0.0069;0.0069;0.0167;0.0058
01/11/09;0.0063;0.0063;0.0066;0.0942;0.0069
01/12/09;0.0082;0.0074;0.0072;0.0772;0.0066
01/01/10;0.0113;0.0068;0.0066;-0.0023;0.0044
01/02/10;0.0143;0.0089;0.0058;-0.006;0.0043
01/03/10;0.0134;0.0162;0.0074;0.0313;0.0046
01/04/10;0.0012;0.0061;0.0066;0.0029;0.0043
01/05/10;0.0074;-0.0009;0.0075;-0.0639;0.005
01/06/10;0.0092;0.0117;0.0079;-0.034;0.005
01/07/10;0.0126;0.016;0.0086;0.1382;0.0092
01/08/10;0.0112;0.0182;0.0088;-0.0115;0.0065
01/09/10;0.0075;0.005;0.0084;0.0701;0.0055
01/10/10;0.0135;0.0182;0.008;0.0145;0.0062
01/11/10;0.0043;0.0073;0.0081;-0.0528;0.0023
01/12/10;0.0147;0.0225;0.0094;0.0199;0.0075
01/01/11;0.0056;-0.0032;0.0086;-0.0665;0.005
01/02/11;0.0069;0.0064;0.0084;-0.0043;0.0078
01/03/11;0.0169;0.0152;0.0092;0.0229;0.0068
01/04/11;0.0064;0.0051;0.0084;-0.0006;0.0087
01/05/11;0.011;0.0144;0.01;0.005;0.0083
01/06/11;0.0056;-0.0028;0.0096;-0.0343;0.0071
01/07/11;0.0113;0.0057;0.0103;-0.0665;0.0065
01/08/11;0.0364;0.0502;0.0108;-0.0166;0.0123
01/09/11;0.0136;0.0066;0.0095;-0.0548;0.008
01/10/11;0.0081;0.0162;0.0089;0.0869;0.0084
01/11/11;0.0146;0.0203;0.0087;-0.0501;0.0079
01/12/11;0.0024;0.0036;0.0093;0.0497;0.0066
01/01/12;0.0184;0.0157;0.0091;0.0816;0.0096
01/02/12;0.0169;0.0218;0.0076;0.0857;0.0072
01/03/12;0.0137;0.0188;0.0092;0.0065;0.007
01/04/12;0.0232;0.0419;0.0075;0.0001;0.011
01/05/12;0.0083;0.0193;0.0075;-0.0496;0.0044
01/06/12;0.0045;-0.0042;0.0064;-0.0333;0.0053
01/07/12;0.0219;0.0273;0.0062;0.0338;0.0056
01/08/12;0.0128;0.0176;0.0069;0.0269;0.0051
01/09/12;0.0141;0.0137;0.0053;0.023;0.0049
01/10/12;0.0243;0.0371;0.0061;-0.0017;0.0087
01/11/12;0.0062;0.005;0.0054;-0.0097;0.0067
01/12/12;0.0177;0.0188;0.0055;0.0365;0.009
01/01/13;0.0021;0.0051;0.0061;-0.0055;0
01/02/13;-0.0089;-0.0092;0.0049;0.0056;-0.0096
01/03/13;-0.0196;-0.0185;0.0056;-0.0298;0.0116
01/04/13;0.0162;0.0144;0.0061;-0.0031;0.004
01/05/13;-0.041;-0.0439;0.0059;-0.0043;0.0033
01/06/13;-0.0218;-0.0277;0.006;-0.0835;0.0044
01/07/13;0.0116;0.0122;0.0072;0.0221;0.0071
01/08/13;-0.0257;-0.026;0.0066;0.0129;0.0008
01/09/13;0.0045;0.0026;0.007;0.0453;0.005
01/10/13;0.0081;0.0095;0.0079;0.0479;0.0048
01/11/13;-0.0365;-0.0365;0.007;-0.0013;-0.0007
01/12/13;0.0124;0.0125;0.0079;-0.0228;0.0084
01/01/14;-0.0258;-0.0251;0.0084;-0.0865;0.003
01/02/14;0.0438;0.0431;0.0078;0.0332;0.0108
01/03/14;0.007;0.0069;0.0076;0.0467;0.0023
01/04/14;0.0234;0.0247;0.0085;0.032;0.0046
01/05/14;0.0416;0.0433;0.0084;0.0052;0.0114
01/06/14;0.0007;-0.0002;0.0083;0.0318;0.0077
01/07/14;0.0111;0.0114;0.0094;0.0375;0.0091
01/08/14;0.0453;0.0481;0.0087;0.1021;0.0036
01/09/14;-0.0427;-0.0353;0.009;-0.1342;0.0137
01/10/14;0.0286;0.0214;0.0095;0.0362;0.0038
01/11/14;0.0207;0.0208;0.0084;0.0228;0.0137
01/12/14;-0.0183;-0.0192;0.0097;-0.0651;0.0073
01/01/15;0.0296;0.031;0.0093;-0.0649;0.0077
01/02/15;0.0046;0.0047;0.0083;0.0789;0.0126
01/03/15;-0.0013;-0.0035;0.0104;-0.0035;0.0101
01/04/15;0.0255;0.0249;0.0097;0.0722;0.0066
01/05/15;0.0251;0.0258;0.0098;-0.0856;0.0099
01/06/15;-0.002;-0.0029;0.0107;0.0238;0.0052
01/07/15;-0.0065;-0.0075;0.0119;0.0054;0.0173
01/08/15;-0.0298;-0.0306;0.0113;-0.0801;0.0079
01/09/15;-0.0085;-0.0067;0.0112;-0.0447;0.0104
01/10/15;0.0242;0.0244;0.0111;0.0545;0.0129
01/11/15;0.0099;0.0102;0.0105;0.0142;0.0097
01/12/15;0.0166;0.015;0.0116;-0.0001;0.009
01/01/16;0.0213;0.0188;0.0105;-0.0362;0.0154
01/02/16;0.0224;0.0221;0.0099;0.0666;0.009
01/03/16;0.0436;0.0516;0.0118;0.1021;0.0141
01/04/16;0.0349;0.0389;0.0107;0.0924;0.01
01/05/16;-0.0011;-0.0014;0.011;-0.0239;0.0109
01/06/16;0.0168;0.0184;0.0116;0.0707;0.0055
01/07/16;0.0227;0.0246;0.0111;0.118;0.0116
01/08/16;0.0106;0.0098;0.0121;0.0154;0.0087
01/09/16;0.0149;0.0164;0.011;0.002;0.0104
01/10/16;0.0051;0.0065;0.0105;0.1058;0.0128
01/11/16;-0.0105;-0.0121;0.0105;-0.0858;0.0069
01/12/16;0.0269;0.0288;0.0111;-0.0042;0.0088
01/01/17;0.0174;0.0189;0.0107;0.082;0.0122
01/02/17;0.0347;0.0389;0.0088;0.0319;0.0098
01/03/17;0.0105;0.0105;0.0107;-0.0338;0.0084
01/04/17;-0.0017;-0.0035;0.0079;-0.0117;0.0047
01/05/17;-0.0072;-0.0124;0.0093;-0.0081;-0.0065
01/06/17;0.0027;0.0019;0.0082;0.0195;0.0091
01/07/17;0.0341;0.0401;0.0079;0.0535;0.0227
01/08/17;0.012;0.0133;0.0079;0.0767;0.0176
01/09/17;0.0167;0.0184;0.0063;0.0371;0.0134
01/10/17;-0.0038;-0.0043;0.0065;-0.0032;0.0043
01/11/17;-0.0071;-0.0077;0.0055;-0.0506;-0.0018
01/12/17;0.0076;0.0085;0.0052;0.0692;0.0143
01/01/18;0.0323;0.0335;0.0057;0.0902;0.0152
01/02/18;0.0052;0.0055;0.0044;0.0205;0.0067
01/03/18;0.0087;0.0092;0.0051;0.0361;0.011
01/04/18;-0.0008;-0.0017;0.0051;0.0272;0.0072
01/05/18;-0.0287;-0.0314;0.005;-0.0948;-0.0192
01/06/18;-0.0027;-0.004;0.005;-0.0273;0.0001
01/07/18;0.0219;0.0237;0.0052;0.0688;0.0159
01/08/18;-0.0032;-0.0045;0.0056;-0.077;0.0003
01/09/18;0.0001;-0.0017;0.0044;0.0082;0.0081
01/10/18;0.059;0.0709;0.0053;0.1224;0.0276
01/11/18;0.0069;0.0094;0.0049;0.0244;0.0081
01/12/18;0.0149;0.0158;0.0048;0.0123;0.0096